,precision,recall,f1-score,support
0,0.6991869918699187,0.6771653543307087,0.688,127.0
1,0.8862876254180602,0.916955017301038,0.9013605442176871,289.0
2,0.3333333333333333,0.4782608695652174,0.39285714285714285,23.0
3,0.8791208791208791,0.8247422680412371,0.851063829787234,97.0
4,0.8576779026217228,0.8910505836575876,0.8740458015267175,257.0
micro avg,0.8253382533825339,0.8461538461538461,0.8356164383561644,793.0
macro avg,0.7311213464727828,0.7576348185791578,0.7414654636777562,793.0
weighted avg,0.8301368028101814,0.8461538461538461,0.8374374199827919,793.0
samples avg,0.8370833333333333,0.8499166666666668,0.8237460317460318,793.0
