,precision,recall,f1-score,support
0,0.3333333333333333,0.5196850393700787,0.40615384615384614,127.0
1,0.7,0.02422145328719723,0.046822742474916385,289.0
2,0.0,0.0,0.0,23.0
3,0.28125,0.6494845360824743,0.3925233644859813,97.0
4,0.8666666666666667,0.05058365758754864,0.09558823529411764,257.0
micro avg,0.32603938730853393,0.18789407313997478,0.2384,793.0
macro avg,0.43624999999999997,0.2487949372654598,0.1882176376817723,793.0
weighted avg,0.6237678646490122,0.18789407313997478,0.1611024638871598,793.0
samples avg,0.18170833333333333,0.16516666666666666,0.16370238095238093,793.0
