,precision,recall,f1-score,support
0,0.7045454545454546,0.7322834645669292,0.7181467181467182,127.0
1,0.8813559322033898,0.8996539792387543,0.8904109589041096,289.0
2,0.5,0.782608695652174,0.6101694915254238,23.0
3,0.865979381443299,0.865979381443299,0.865979381443299,97.0
4,0.8368794326241135,0.9182879377431906,0.87569573283859,257.0
micro avg,0.8206650831353919,0.8713745271122321,0.8452599388379205,793.0
macro avg,0.7577520401632514,0.8397626917288694,0.7920804565716282,793.0
weighted avg,0.8256836712716893,0.8713745271122321,0.8469370768884278,793.0
samples avg,0.8382083333333332,0.8744166666666666,0.8369781746031745,793.0
