,precision,recall,f1-score,support
0,0.95,0.2611683848797251,0.40970350404312667,582.0
1,0.7403560830860534,0.8573883161512027,0.7945859872611465,582.0
2,0.8648648648648649,0.5517241379310345,0.6736842105263158,58.0
3,0.7983193277310925,0.9359605911330049,0.8616780045351474,203.0
4,0.9101338432122371,0.6888567293777135,0.7841845140032949,691.0
micro avg,0.8265931372549019,0.6375236294896031,0.7198505869797225,2116.0
macro avg,0.8527348237788495,0.6590196318945362,0.7047672440738062,2116.0
weighted avg,0.8624341737747224,0.6375236294896031,0.6884509935002481,2116.0
samples avg,0.7803862803862804,0.6353479853479853,0.6750899893757036,2116.0
