,precision,recall,f1-score,support
0,0.3169811320754717,0.6614173228346457,0.42857142857142855,127.0
1,0.7,0.1695501730103806,0.27298050139275765,289.0
2,0.09210526315789473,0.30434782608695654,0.1414141414141414,23.0
3,0.2441860465116279,0.6494845360824743,0.35492957746478876,97.0
4,0.7294117647058823,0.24124513618677043,0.36257309941520466,257.0
micro avg,0.35145888594164454,0.33417402269861285,0.34259857789269554,793.0
macro avg,0.41653684129017526,0.4052089988402455,0.31209374965166414,793.0
weighted avg,0.574804407146603,0.33417402269861285,0.33314239236746,793.0
samples avg,0.20549999999999996,0.2970833333333333,0.228359126984127,793.0
