,precision,recall,f1-score,support
0,0.7894736842105263,0.11811023622047244,0.2054794520547945,127.0
1,0.846441947565543,0.7820069204152249,0.8129496402877698,289.0
2,1.0,0.043478260869565216,0.08333333333333333,23.0
3,0.6304347826086957,0.8969072164948454,0.7404255319148936,97.0
4,0.6590909090909091,0.5642023346303502,0.6079664570230608,257.0
micro avg,0.7348837209302326,0.5977301387137453,0.6592489568845619,793.0
macro avg,0.7850882646951349,0.48094099372609167,0.4900308829227704,793.0
weighted avg,0.7546323055366784,0.5977301387137453,0.619197552549133,793.0
samples avg,0.6729166666666667,0.6044166666666667,0.6041011904761905,793.0
