,precision,recall,f1-score,support
0,0.8203592814371258,0.8203592814371258,0.8203592814371258,167.0
1,0.9252173913043479,0.9708029197080292,0.9474621549421193,548.0
2,0.6129032258064516,0.7307692307692307,0.6666666666666666,26.0
3,0.8895348837209303,0.9053254437869822,0.8973607038123167,169.0
4,0.912109375,0.934,0.9229249011857708,500.0
micro avg,0.8977350720658888,0.9276595744680851,0.9124520404604116,1410.0
macro avg,0.832024831453771,0.8722513751402736,0.8509547416087999,1410.0
weighted avg,0.8981139696131827,0.9276595744680851,0.9125241161551643,1410.0
samples avg,0.8894791666666666,0.9090208333333334,0.8870396825396826,1410.0
